Date,Close
28/01/2000,16734.39 
29/02/2000,17660.20 
31/03/2000,17820.37 
28/04/2000,15537.60 
31/05/2000,14956.61 
30/06/2000,16727.95 
31/07/2000,16454.60 
31/08/2000,17346.70 
29/09/2000,15928.39 
31/10/2000,14867.23 
30/11/2000,13287.39 
28/12/2000,15259.29 
31/01/2001,17672.77 
28/02/2001,15891.41 
30/03/2001,14438.45 
30/04/2001,14917.54 
31/05/2001,14649.98 
29/06/2001,14559.79 
31/07/2001,13754.16 
31/08/2001,12840.60 
28/09/2001,10635.74 
31/10/2001,11364.71 
30/11/2001,12931.71 
28/12/2001,13577.57 
31/01/2002,12721.45 
28/02/2002,14033.29 
28/03/2002,13254.55 
30/04/2002,13085.12 
31/05/2002,12861.43 
28/06/2002,11139.16 
31/07/2002,9762.59 
30/08/2002,10382.20 
30/09/2002,8622.54 
31/10/2002,10167.71 
29/11/2002,10508.81 
30/12/2002,11268.47 
31/01/2003,10941.09 
28/02/2003,10280.61 
31/03/2003,11273.63 
30/04/2003,12556.70 
30/05/2003,13421.60 
30/06/2003,12972.58 
31/07/2003,13571.73 
29/08/2003,15174.49 
30/09/2003,16010.67 
31/10/2003,17982.49 
28/11/2003,20183.97 
30/12/2003,22236.39 
30/01/2004,21851.44 
27/02/2004,21755.02 
31/03/2004,22142.26 
30/04/2004,19607.23 
31/05/2004,19544.67 
30/06/2004,21148.91 
30/07/2004,22336.87 
31/08/2004,22803.19 
30/09/2004,23245.24 
29/10/2004,23052.18 
30/11/2004,25128.33 
30/12/2004,26196.25 
31/01/2005,24350.62 
28/02/2005,28139.13 
31/03/2005,26610.65 
29/04/2005,24843.70 
31/05/2005,25207.07 
30/06/2005,25051.21 
29/07/2005,26042.36 
31/08/2005,28044.83 
30/09/2005,31583.79 
31/10/2005,30193.51 
30/11/2005,31916.76 
29/12/2005,33455.94 
31/01/2006,38382.80 
24/02/2006,38610.39 
31/03/2006,37951.97 
28/04/2006,40363.42 
31/05/2006,36530.04 
30/06/2006,36630.66 
31/07/2006,37077.12 
31/08/2006,36232.22 
29/09/2006,36449.40 
31/10/2006,39262.79 
30/11/2006,41931.84 
28/12/2006,44473.71 
31/01/2007,44641.60 
28/02/2007,43892.31 
30/03/2007,45804.66 
30/04/2007,48956.39 
31/05/2007,52268.46 
29/06/2007,54392.06 
31/07/2007,54182.50 
31/08/2007,54637.24 
28/09/2007,60465.06 
31/10/2007,65317.70 
30/11/2007,63006.16 
28/12/2007,63886.10 
31/01/2008,59490.40 
29/02/2008,63489.30 
31/03/2008,60968.07 
30/04/2008,67868.46 
30/05/2008,72592.50 
30/06/2008,65017.58 
31/07/2008,59505.17 
29/08/2008,55680.41 
30/09/2008,49541.27 
31/10/2008,37256.84 
28/11/2008,36595.87 
30/12/2008,37550.31 
30/01/2009,39300.79 
27/02/2009,38183.31 
31/03/2009,40925.87 
30/04/2009,47289.53 
29/05/2009,53197.73 
30/06/2009,51465.46 
31/07/2009,54765.72 
31/08/2009,56488.98 
30/09/2009,61517.89 
30/10/2009,61545.50 
30/11/2009,67044.44 
30/12/2009,68588.41 
29/01/2010,65401.77 
26/02/2010,66503.27 
31/03/2010,70371.54 
30/04/2010,67529.73 
31/05/2010,63046.51 
30/06/2010,60935.90 
30/07/2010,67515.40 
31/08/2010,65145.45 
30/09/2010,69429.78 
29/10/2010,70673.30 
30/11/2010,67705.40 
30/12/2010,69304.81 
31/01/2011,66574.88 
28/02/2011,67383.22 
31/03/2011,68586.70 
29/04/2011,66132.86 
31/05/2011,64620.08 
30/06/2011,62403.64 
29/07/2011,58823.45 
31/08/2011,56495.12 
30/09/2011,52324.42 
31/10/2011,58338.39 
30/11/2011,56874.98 
29/12/2011,56754.08 
31/01/2012,63072.31 
29/02/2012,65811.73 
30/03/2012,64510.97 
30/04/2012,61820.26 
31/05/2012,54490.41 
29/06/2012,54354.63 
31/07/2012,56097.05 
31/08/2012,57061.45 
28/09/2012,59175.80 
31/10/2012,57068.18 
30/11/2012,57474.57 
